pickup_dow_num,pickup_day,pickup_hour,trips,avg_fare
1,Monday,0,77056,26.79
1,Monday,1,39651,25.42
1,Monday,2,20843,22.85
1,Monday,3,14692,24.77
1,Monday,4,16486,30.43
1,Monday,5,30954,28.67
1,Monday,6,80903,23.58
1,Monday,7,157931,20.21
1,Monday,8,212552,19.21
1,Monday,9,224806,19.3
1,Monday,10,232947,19.66
1,Monday,11,244713,19.85
1,Monday,12,263009,19.93
1,Monday,13,273855,21.92
1,Monday,14,297296,21.24
1,Monday,15,308449,21.09
1,Monday,16,306294,21.18
1,Monday,17,333740,19.6
1,Monday,18,341808,18.02
1,Monday,19,290216,18.5
1,Monday,20,264358,19.26
1,Monday,21,251977,19.72
1,Monday,22,200557,21.67
1,Monday,23,131963,24.93
2,Tuesday,0,70299,25.67
2,Tuesday,1,32139,25.21
2,Tuesday,2,16534,23.61
2,Tuesday,3,10410,26.05
2,Tuesday,4,12852,31.13
2,Tuesday,5,30992,26.4
2,Tuesday,6,87157,21.36
2,Tuesday,7,186783,18.24
2,Tuesday,8,256665,18.3
2,Tuesday,9,269667,18.88
2,Tuesday,10,268061,19.96
2,Tuesday,11,278578,19.62
2,Tuesday,12,294413,19.7
2,Tuesday,13,300924,20.26
2,Tuesday,14,331898,20.95
2,Tuesday,15,339973,20.81
2,Tuesday,16,339239,20.8
2,Tuesday,17,377414,19.37
2,Tuesday,18,403892,17.77
2,Tuesday,19,346691,17.8
2,Tuesday,20,323257,18.27
2,Tuesday,21,329418,18.28
2,Tuesday,22,277598,19.47
2,Tuesday,23,183953,21.33
3,Wednesday,0,92812,22.13
3,Wednesday,1,42396,21.05
3,Wednesday,2,21433,20.12
3,Wednesday,3,13642,22.28
3,Wednesday,4,14810,30.37
3,Wednesday,5,31558,26.48
3,Wednesday,6,88568,20.89
3,Wednesday,7,191802,18.19
3,Wednesday,8,264140,18.05
3,Wednesday,9,274937,18.59
3,Wednesday,10,275277,19.14
3,Wednesday,11,289342,19.71
3,Wednesday,12,309619,19.99
3,Wednesday,13,317338,20.62
3,Wednesday,14,340241,21.39
3,Wednesday,15,346919,21.12
3,Wednesday,16,347452,21.16
3,Wednesday,17,392303,19.73
3,Wednesday,18,424177,17.99
3,Wednesday,19,379980,17.86
3,Wednesday,20,347586,18.28
3,Wednesday,21,354426,18.41
3,Wednesday,22,315024,19.12
3,Wednesday,23,210776,20.64
4,Thursday,0,114303,20.72
4,Thursday,1,55661,19.87
4,Thursday,2,29765,18.28
4,Thursday,3,18799,20.66
4,Thursday,4,18099,28.81
4,Thursday,5,32819,27.06
4,Thursday,6,89750,21.93
4,Thursday,7,190363,18.52
4,Thursday,8,261074,18.17
4,Thursday,9,272585,18.68
4,Thursday,10,276174,19.28
4,Thursday,11,292303,19.84
4,Thursday,12,312149,20.2
4,Thursday,13,314387,20.97
4,Thursday,14,341671,21.77
4,Thursday,15,355622,21.66
4,Thursday,16,352930,21.74
4,Thursday,17,396048,20.06
4,Thursday,18,429029,18.45
4,Thursday,19,375473,18.28
4,Thursday,20,346547,18.78
4,Thursday,21,355836,18.79
4,Thursday,22,328732,19.44
4,Thursday,23,253298,20.36
5,Friday,0,161394,19.6
5,Friday,1,92163,18.4
5,Friday,2,52744,17.32
5,Friday,3,31185,19.22
5,Friday,4,24816,27.33
5,Friday,5,33787,28.95
5,Friday,6,78755,23.74
5,Friday,7,152876,19.69
5,Friday,8,205187,18.66
5,Friday,9,229515,19.19
5,Friday,10,247349,19.47
5,Friday,11,264212,19.7
5,Friday,12,282581,19.86
5,Friday,13,295556,20.54
5,Friday,14,330938,21.29
5,Friday,15,339937,21.14
5,Friday,16,333765,21.0
5,Friday,17,372442,19.23
5,Friday,18,396206,17.83
5,Friday,19,367009,17.88
5,Friday,20,299220,18.61
5,Friday,21,297827,18.82
5,Friday,22,317475,19.07
5,Friday,23,300557,19.46
6,Saturday,0,256439,18.23
6,Saturday,1,208880,16.53
6,Saturday,2,153405,15.9
6,Saturday,3,98498,16.52
6,Saturday,4,50125,20.12
6,Saturday,5,23687,29.25
6,Saturday,6,41846,27.74
6,Saturday,7,66051,23.58
6,Saturday,8,107970,19.47
6,Saturday,9,167134,17.66
6,Saturday,10,220052,17.23
6,Saturday,11,259394,17.29
6,Saturday,12,290268,17.91
6,Saturday,13,303815,18.72
6,Saturday,14,303748,19.9
6,Saturday,15,317270,20.57
6,Saturday,16,326467,20.03
6,Saturday,17,337873,19.31
6,Saturday,18,344428,18.6
6,Saturday,19,336902,18.53
6,Saturday,20,278851,18.84
6,Saturday,21,281085,18.87
6,Saturday,22,306933,19.15
6,Saturday,23,304390,19.25
7,Sunday,0,266271,18.09
7,Sunday,1,223180,16.68
7,Sunday,2,161674,16.36
7,Sunday,3,111563,17.05
7,Sunday,4,61110,20.49
7,Sunday,5,26870,30.23
7,Sunday,6,40070,30.19
7,Sunday,7,60696,26.04
7,Sunday,8,93104,21.69
7,Sunday,9,148430,19.15
7,Sunday,10,205956,18.36
7,Sunday,11,243121,18.33
7,Sunday,12,277045,19.35
7,Sunday,13,285607,20.64
7,Sunday,14,295157,21.78
7,Sunday,15,289140,22.29
7,Sunday,16,292147,22.24
7,Sunday,17,291009,21.36
7,Sunday,18,280766,20.34
7,Sunday,19,246812,20.79
7,Sunday,20,229236,21.2
7,Sunday,21,215253,21.75
7,Sunday,22,179433,23.66
7,Sunday,23,133734,26.48
