distance_mi,trips,avg_fare,avg_total,avg_duration_min
0.0,1232197,6.38,12.46,4.3
1.0,13430747,9.34,16.09,8.3
2.0,8984612,14.22,21.74,13.8
3.0,4125358,18.98,27.24,18.6
4.0,2038453,23.21,32.11,22.0
5.0,1178255,26.87,36.19,23.9
6.0,768823,30.3,40.14,25.3
7.0,574523,33.53,44.69,26.4
8.0,515783,36.68,52.17,27.1
9.0,610282,40.62,60.93,29.6
10.0,558761,44.31,65.3,32.3
11.0,431031,48.07,68.76,34.7
12.0,289399,51.8,70.89,36.7
13.0,160405,56.78,74.77,40.2
14.0,125255,61.14,78.35,41.1
15.0,132769,63.89,81.19,42.4
16.0,184164,68.09,87.22,45.8
17.0,383319,70.87,93.11,47.8
18.0,491519,71.49,94.12,50.0
19.0,302780,72.04,94.09,50.1
20.0,178218,73.87,96.35,49.7
21.0,123759,76.34,99.08,52.1
22.0,62955,77.23,99.83,55.7
23.0,28797,84.58,106.21,55.9
24.0,17185,93.55,114.78,53.4
25.0,13885,98.21,119.32,52.8
26.0,15127,99.85,121.49,50.9
27.0,15332,100.98,122.66,50.7
28.0,13619,95.32,119.36,53.4
29.0,10012,96.47,121.61,55.1
30.0,3393,106.93,133.42,57.2
